소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
육류,8809430222455,양념돼지갈비,(주)케이프라이드,10,180.0
육류,8809343351167,맛기픈소양념구이용(小),(주)고향미트,15,180.0
소시지,8801068389333,닭가슴살후랑크청양고추,(주)에스피씨삼립 서천공장,40,7.0
어묵,8803404000438,매콤코로네,(주)효성어묵,720,3.0
어묵,8803404002104,매콤 야채당면봉 大(진공냉동),(주)효성어묵,720,3.0
육류,8809589780233,멍석말이 돈구이,(주)농부,360,180.0
두부,8809009553454,떠먹는 한 컵! 초당순두부,강릉초당두부,17,90.0
어묵,8803404002692,소시지어묵바,(주)효성어묵,50,3.0
육류,8809252520555,꿀 칼집구이,(주)청담원,10,180.0
육류,8809613170146,구운통뼈닭발,옥토푸드 화신닭발,360,180.0
어묵,8809541570759,야채사각어묵(냉동),(주)둥지식품,360,3.0
육류,8809408251708,수제쯔꾸네,(주)마루종합식품,360,180.0
육류,8809693830299,한돈 양념 LA갈비구이,푸드올 주식회사,360,180.0
육류,8809600450121,돼지 머리뼈,농업회사법인 혜밀 주식회사,270,180.0
육류,8809570010134,튜립불닭발,(주)제이엠푸드,45,180.0
김치,8809462040423,진경배추김치,주식회사모산F/S,60,180.0
어묵,8803404001701,수제 매콤 전,(주)효성어묵,720,3.0
김치,8809326900313,알타리김치,농업회사법인주식회사해미래,60,180.0
김치,8802716000075,열무김치,영주식품,60,180.0
육류,8809697410008,철판데리야끼목살구이,태민푸드,360,180.0
소시지,8801066058422,매콤함에 꼬치다,(주)사조대림,45,7.0
육류,8809601610364,돼지갈비찜,원더팩토리,365,180.0
육류,8809430221496,양념돼지주물럭,(주)케이프라이드,10,180.0
육류,8809607090245,더조은 발효숙성 돼지갈비찜(냉동),주식회사 더조은 믿음식품,360,180.0
김치,8809786320003,묵은지,주)이씨네식품,1095,180.0
베이컨,8801123510535,의성마늘 담백한 베이컨,롯데제과(주) 김천공장,25,0.0
김치,8809549460120,참자연겉절이,참자연마을 영농조합법인,180,180.0
육류,8809428460333,대구진 초벌소막창,농업회사법인 주식회사 코리아식품,360,180.0
육류,8809343351068,간장주물럭,(주)고향미트,15,180.0
묵,8809495072996,밤이 되면 곤약 사천짜장맛,농업회사법인(유)아리랑식품,180,0.0
어묵,8809421943093,부드러운 종합꼬치어묵,(주)아워홈,270,3.0
어묵,8807780880950,내고향부산어묵,(주)하나식품,13,3.0
햄,8809136880294,본래 족발,주식회사 본래족발,60,7.0
육류,8809252520708,단짠쪽갈비,(주)청담원,360,180.0
두부,8809253751002,두부사랑,주식회사 진선식품,18,90.0
햄,8809665553430,아워홈 매콤한 칠리 닭가슴살,주식회사 아워홈,40,7.0
치즈,8809560610498,스위트몬스터 마스터피스 쉬레드 모짜렐라,한국유업주식회사,90,70.0
육류,8809335530709,소 불고기,(주)한울에프앤에스,20,180.0
육류,8809138750441,콜라겐이야 치즈무뼈불닭발,(주)제이엠푸드,360,180.0
소시지,8809257825396,손수 비엔나,(주)아워홈,30,7.0
햄,8809437070462,코파,프랑스구르메(주),180,7.0
소시지,8809013407736,카바노치스낵,에쓰푸드(주),360,7.0
김치,8809579000129,깍두기,대원식품,90,180.0
육류,8809398780752,마메든 돼지양념갈비 순한맛,(주)두루,60,180.0
어묵,8803404001046,부산 옛날 특사각어묵,(주)효성어묵,12,3.0
햄,8809248070705,상건 데리야끼 훈제삼겹,(주)대신푸드글로벌,45,7.0
육류,8809557430764,양념 돼지갈비찜,이수한우 영농조합법인,360,180.0
소시지,8801123205219,롯데햄 빅팜,롯데제과(주),90,7.0
치즈,8809668450002,연보람 스트링치즈,(주)연보람 우유,30,70.0
어묵,8809585200407,특각,(주)우리원식품,360,3.0
육류,8809092577528,에어프라이어 닭다리치킨,(주)한강식품,10,180.0
햄,8809592470107,훈제 통다리살,농업회사법인 (주)농신에프디,360,7.0
치즈,8809524630401,피자치즈,(주)이스트밸리,90,70.0
소시지,8809610650269,친한N소시지 오리지널,(주)친한 F&B,40,7.0
어묵,8809990219278,죽순어묵탕,농업회사법인산속농장주식회사,50,3.0
육류,8801052043852,안주야 직화 무뼈 닭발,대상(주) 단양2공장,360,180.0
김치,8809776970157,열무김치,명가식품,120,180.0
육류,8804316001841,골든 후라이드치킨,(주)체리푸드,360,180.0
어묵,8809013470044,혼합어묵(냉동),(주)부산가덕도식품,720,3.0
햄,8803712330043,혼신 반마리야,(주)농협목우촌,40,7.0
두부,8809373600099,아빠맘 두부,주식회사 좋은이웃,7,90.0
육류,8809767880007,미식명가 소불고기,농업회사법인 토마스푸드(주),360,180.0
치즈,8801155748272,진심을 담은 부드러운 슈레드 모짜렐라치즈,(주)동원에프앤비 강진공장,90,70.0
김치,8809505850088,0.8 프리미엄 열무물김치,대원푸드 농업회사법인 주식회사,180,180.0
육류,8809614920153,김보성 매의리포차 닭갈비,농업회사법인 주식회사 제이원푸드,360,180.0
두부,8809036800002,햇콩두부,점촌농협 식품가공사업소,20,90.0
두부,8809396940059,맛있는참맛연두부,그린식품제2공장,15,90.0
육류,8809683450018,돈오소리(냉장),주원푸드(주),30,180.0
육류,8809607090146,더조은 돼지불고기(냉동),주식회사 더조은 믿음식품,360,180.0
햄,8809248071467,상건 핫 오리 날개 훈제,(주)대신푸드글로벌,45,7.0
육류,8809269770738,제육볶음,푸드스토아,15,180.0
두부,8801114150627,순두부 치즈 그라탕 볼로네제,(주)우천식품,20,90.0
김치,8809294050065,썰은배추김치,들빛식품,30,180.0
육류,8809563420605,직화간장불고기,농업회사법인(주)대광,360,180.0
육류,8809381671142,Largo Kitchen bulgogi Flavored Pork Rectum,성신식품,60,180.0
묵,8809045480011,동부묵,한양식품,10,0.0
어묵,8809402680269,알뜰사각,해맑은 식품(주),15,3.0
치즈,8809360903080,프레시91(F),(주)킹스코,360,70.0
육류,8809366355760,소곱창,(주)달구지푸드,360,180.0
어묵,8803404001923,오죽(진공살균),(주)효성어묵,50,3.0
김치,195313000011,BONGHWA HANBANG POGIKIMCHI,봉화청량산김치 농업회사법인(주),180,180.0
어묵,8803404000568,국,(주)효성어묵,12,3.0
우유,8801069171449,아인슈타인,남양유업 주식회사 천안신공장,15,45.0
두부,8809358460021,생명물두부 생식·찌개용,신앙촌소비조합주식회사,14,90.0
육류,8809589850134,양념소불고기,다온푸드,360,180.0
육류,8809601610319,혼밥대장 연탄직화매운불고기,한솔식품,365,180.0
어묵,8801242643770,마차촌 삼호부산어묵,씨제이 씨푸드 주식회사,13,3.0
육류,8809253770218,햇잎구이,(주)미트메이드,365,180.0
육류,8809379740935,돼지막창,주식회사푸건식품,30,180.0
육류,8809430220611,상남자 프리미엄 찹스테이크,(주)케이프라이드,360,180.0
육류,8809440360673,소스지수육,주식회사 엔지엠,30,180.0
소시지,8809626340673,후랑크소시지,농업회사법인 주식회사 에스엠푸드,30,7.0
육류,8809430221779,안창살양념구이,(주)케이프라이드,10,180.0
육류,8809557430757,와인숙성 고추장불고기,이수한우 영농조합법인,365,180.0
육류,8809343352720,낙원 특선 양념 대갈비,(주)고향미트,15,180.0
햄,8809389820245,훈제오리 바베큐 슬라이스,영농조합법인 비엔푸드,45,7.0
두부,8809474440419,100% 국산콩 농부가 직접만든 두부,황금씨앗,10,90.0
햄,8809353601030,유황오리훈제슬라이스(5무),주식회사 우진종합식품 농업회사법인,45,7.0
어묵,8809610130068,상천,(주)보람식품,15,3.0
김치,8805588001263,조선호텔 열무김치,(주)조선호텔앤리조트김치,120,180.0
육류,8809365661015,辛남천야채닭갈비,(주)야미식스,360,180.0
소시지,8809228683468,안심불고기맛소시지,(주)이목원,30,7.0
육류,8809248071399,돼지 불고기,(주)대신푸드글로벌,15,180.0
육류,8809616110040,양념돼지목살,농업회사법인 ㈜우림웰푸드,15,180.0
햄,8809592830123,황칠황금덕,모아푸드 주식회사,45,7.0
우유,8801121024072,소화가 잘되는 우유 저지방 2%,매일유업(주) 광주공장,112,45.0
